種類,,icon,名前,継承元,URL,使いそう度,使いそう度,❓よく知らない,一言で,概要、こういうときに使う,翻訳から編集したかどうか,en,概要ja,2D　のゲームで使うかも,3D　のゲームで使うかも,VR,UI,Data,Image,Audio,Physic,Anim,Shader,Editor,Base
Type,,AABB,AABB,なし,📑,⭐,1,❓,,Axis-Aligned Bounding Box.,済,Axis-Aligned Bounding Box.,軸に合わせた境界ボックス。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node,,AcceptDialog,AcceptDialog,Window                < Viewport < Node < Object,📑,⭐⭐⭐,3,,OKダイアログ,ユーザー通知のためのベースダイアログ。OKボタンだけある。,済,Base dialog for user notification.,ユーザー通知のためのベースダイアログ。,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OtherObject,,Object,AESContext,RefCounted                < Object,📑,⭐,1,❓,,低レベルAES暗号化機能へのインターフェース。,,Interface to low level AES encryption features.,低レベルAES暗号化機能へのインターフェース。,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node2D,,AnimatableBody2D,AnimatableBody2D,StaticBody2D                < PhysicsBody2D < CollisionObject2D < Node2D < CanvasItem < Node,📑,⭐⭐⭐,3,,動く床・ドア物理,スクリプト・アニメーションで移動させる2D物理ボディ。移動床やドアに便利。,済,Physics body for 2D physics which moves only by script or animation. Useful for moving platforms and doors.,スクリプトまたはアニメーションによってのみ移動する2D物理学の物理ボディ。移動するプラットフォームやドアに役立ちます。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Node3D,,AnimatableBody3D,AnimatableBody3D,StaticBody3D                < PhysicsBody3D < CollisionObject3D < Node3D < Node < Object,📑,⭐⭐⭐,3,,動く床・ドア物理,動く床・ドア物理,済,Physics body for 3D physics which moves only by script or animation. Useful for moving platforms and doors.,スクリプトまたはアニメーションによってのみ移動する3D物理学の物理ボディ。移動するプラットフォームやドアに役立ちます。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Node2D,,AnimatedSprite2D,AnimatedSprite2D,Node2D                < CanvasItem < Node < Object,📑,⭐⭐⭐⭐,4,,パラパラ画像,アニメーション再生フレームとして複数のテクスチャを含むスプライトノード。,済,Sprite node that contains multiple textures as frames to play for animation.,アニメーションのために再生するフレームとして複数のテクスチャを含むスプライトノード。,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Node3D,,AnimatedSprite3D,AnimatedSprite3D,SpriteBase3D                < GeometryInstance3D < VisualInstance3D < Node3D < Node < Object,📑,⭐⭐⭐⭐,4,,パラパラ画像,3Dワールドの2Dスプライトノード。アニメーションに複数の2Dテクスチャを使用できます。,,2D sprite node in 3D world、 that can use multiple 2D textures for animation.,アニメーションに複数の2Dテクスチャを使用できる3Dワールドの2Dスプライトノード。,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,AnimatedTexture,AnimatedTexture,Texture2D                < Texture < Resource < RefCounted < Object,📑,⭐⭐,2,,,単純なフレームベースのアニメーションのプロキシテクスチャ。,,Proxy texture for simple frame-based animations.,単純なフレームベースのアニメーションのプロキシテクスチャ。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Animation,Animation,Resource                < RefCounted < Object,📑,⭐⭐⭐⭐,4,,,[AnimationPlayer]で再生するデータのリソース。対象の[NodePath],,Contains data used to animate everything in the engine.,エンジン内のすべてをアニメーション化するために使用されるデータが含まれています。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,AnimationLibrary,AnimationLibrary,Resource                < RefCounted < Object,📑,⭐⭐⭐⭐⭐,5,,,[アニメーション]リソース用のコンテナ。,,Container for [Animation] resources.,[アニメーション]リソース用のコンテナ。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
